nom,type,region,province,latitude,longitude,population
Toulfwanou,commune,Est,Gnagna Province,13.05798,0.20713,0
Toulfé,commune,Nord,Province du Yatenga,13.8826,-1.9551,0
Toula,commune,Boucle du Mouhoun,Province de la Koosin,12.6136,-4.3179,0
Toula,commune,Centre-Sud,,11.65,-1.01667,0
Toukwédo,commune,Est,,12.38333,0.06667,0
Toukouro,commune,Boucle du Mouhoun,Province de la Koosin,12.11239,-4.34069,0
Toukouli,commune,Nord,Province du Yatenga,13.68302,-2.07487,0
Toukoudja,commune,Est,,11.01667,0.5,0
Toukoro,commune,Hauts-Bassins,Province du Houet,11.42211,-4.25048,0
Toukoro,commune,Cascades,Province de la Comoé,10.40504,-3.86142,0
Touko,commune,Nord,Province du Yatenga,13.1159,-2.08508,0
Toukin,commune,Centre,Kadiogo Province,12.39678,-1.50234,0
Touka Ouropila,commune,Sahel,Oudalan,14.19879,-0.24908,0
Touka Ouronala,commune,Sahel,Oudalan,14.18933,-0.18952,0
Touka Korno,commune,Sahel,Province du Séno,14.18381,-0.21372,0
Touka Dionga,commune,Sahel,Province du Séno,14.18082,-0.18363,0
Touka Bayèl,commune,Sahel,Province du Séno,14.18737,-0.23875,0
Touka,commune,Centre-Nord,Province du Bam,13.26943,-1.49898,0
Touiré,commune,Plateau-Central,,12.21667,-0.5,0
Touhousma,commune,Centre-Nord,,12.9038,-1.42639,0
Touhaho,commune,Hauts-Bassins,,11.66667,-3.51667,0
Tougui,commune,Centre-Nord,,12.81667,-0.5,0
Tougouya,commune,Nord,Province du Yatenga,13.45506,-2.06488,0
Tougourousambo,commune,Est,,12.03333,0.48333,0
Tougouri,commune,Centre-Nord,Province du Namentenga,13.31639,-0.5225,0
Tougoulema,commune,Centre-Sud,,11.98333,-1.58333,0
Tougoudougou,commune,Est,,12.56667,-0.18333,0
Tougou,commune,Nord,Province du Yatenga,13.68036,-2.25088,0
Tougou,commune,Centre-Ouest,,12.56667,-2.45,0
Tougoméné,commune,Nord,Province du Yatenga,13.55091,-2.71315,0
Tougué,commune,Nord,Province du Yatenga,13.52043,-2.67729,0
Tougo,commune,Centre-Nord,Province du Bam,13.45447,-1.79757,0
Tougo,commune,Nord,Province du Yatenga,13.20136,-2.12037,0
Touguiri,commune,Centre-Ouest,,12.0614,-1.99631,0
Tougdou,commune,Est,Gnagna Province,13.46181,-0.05223,0
Tougatenga,commune,Centre-Nord,,12.56667,-0.85,0
Touéyoko,commune,Centre-Sud,,11.76667,-1,0
Touékoundi,commune,Centre-Nord,Sandbondtenga,13.48571,-1.09646,0
Touébaka,commune,Centre-Ouest,,12.05,-2.13333,0
Toudou,commune,Centre-Sud,Bazega Province,11.86667,-1.31667,0
Toubouri,commune,Est,Province du Gobnangou,12.42212,1.64122,0
Touboulondo,commune,Centre-Nord,Province du Bam,13.26235,-1.56793,0
Toubouandi,commune,Est,Province du Gobnangou,12.32768,1.58273,0
Toubiango,commune,Nord,Province du Yatenga,13.06588,-2.42887,0
Toubani,commune,Boucle du Mouhoun,,12.95,-3.26667,0
Touba,commune,Boucle du Mouhoun,Province de la Koosin,13.1125,-4.321,0
Touaga,commune,Est,Province du Gobnangou,12.17232,1.79895,0
Touaèguen,commune,Centre-Nord,Sandbondtenga,13.08683,-0.90403,0
Touabré,commune,Est,Gnagna Province,13.21441,-0.25126,0
Tou,commune,Nord,Province du Yatenga,13.92372,-2.76899,0
Toton,commune,Boucle du Mouhoun,,12.03333,-3.45,0
Totenga,commune,Centre-Nord,Province du Bam,13.09709,-1.66691,0
Toson,commune,Boucle du Mouhoun,Province du Nayala,12.89977,-2.94139,0
Tosogo,commune,Est,Gnagna Province,13.02653,-0.13761,0
Torouodo,commune,Est,,12.56667,-0.21667,0
Toroué,commune,Nord,Province du Yatenga,13.768,-2.37193,0
Torosso,commune,Hauts-Bassins,Province du Houet,11.14709,-4.5776,0
Torokoto,commune,Boucle du Mouhoun,Province de la Koosin,13.3465,-3.8012,0
Torokoro,commune,Cascades,Province de la Comoé,10.0371,-4.4023,0
Torohiri,commune,Sud-Ouest,,10.15,-3.55,0
Torodo,commune,Plateau-Central,,12.2,-0.48333,0
Torodi,commune,Sahel,Province du Séno,13.9967,-0.0277,0
Toroba,commune,Boucle du Mouhoun,,12.46667,-3.23333,0
Toro,commune,Plateau-Central,,12.35,-0.76667,0
Torkora,commune,Sud-Ouest,,10.23333,-3.55,0
Toguen,commune,Centre-Nord,,12.80884,-1.08912,0
Toré,commune,Centre-Sud,,11.21667,-1.18333,0
Tordo,commune,Centre-Est,,12.11667,-0.41667,0
Torandougou,commune,Cascades,Province de la Comoé,9.85916,-4.40543,0
Tora,commune,Centre-Nord,Province du Bam,13.28819,-1.38702,0
Tora,commune,Boucle du Mouhoun,,12.58333,-3.4,0
Tora,commune,Sud-Ouest,,10.56667,-3.48333,0
Topi,commune,Sud-Ouest,,9.85,-2.85,0
Topéra,commune,Sud-Ouest,,10.36667,-3.03333,0
Topana,commune,Sud-Ouest,,10.5,-3.63333,0
Tontonibouri,commune,Est,Province du Gobnangou,12.05908,1.8497,0
Tonton,commune,Centre-Ouest,,12.58333,-2.65,0
Tontoloumboura,commune,Sud-Ouest,,10.16667,-3.33333,0
Tonséré,commune,Boucle du Mouhoun,,12.66667,-3.73333,0
Tonpoména,commune,Sud-Ouest,,9.88333,-3.3,0
Tonpéna,commune,Sud-Ouest,,10.35,-3.5,0
Tonore,commune,Sud-Ouest,,10.45,-3.03333,0
Tonon,commune,Centre-Ouest,,11.55,-2.41667,0
Tonogosso,commune,Hauts-Bassins,Province du Houet,11.14282,-4.16066,0
Tonkoroni,commune,Boucle du Mouhoun,,12.66667,-3.83333,0
Tonkar,commune,Sud-Ouest,,10.4,-3.16667,0
Tonior,commune,Sud-Ouest,,9.8,-2.93333,0
Toni,commune,Boucle du Mouhoun,,12.65099,-3.98827,0
Tonguen,commune,Nord,Province du Yatenga,13.45194,-1.93372,0
Tonguel,commune,Sahel,Province du Séno,13.96659,0.16064,0
Tonguél,commune,Sahel,Province du Séno,13.79011,0.45671,0
Tongué,commune,Sahel,Province du Séno,13.97794,-0.45121,0
Tongourou,commune,Boucle du Mouhoun,Province du Sourou,13.0028,-3.3454,0
Tongou,commune,Sahel,Province du Yagha,13.27288,0.3863,0
Tongomayel,commune,Sahel,Province du Djelgodji,14.06637,-1.48171,0
Tongogodèn,commune,Est,Province du Gobnangou,12.63829,2.01736,0
Tongchogo,commune,Centre-Nord,Province du Namentenga,13.28693,-0.46657,0
Tongawabgoudé,commune,,,12.55,-0.25,0
Tonga,commune,Sahel,Province du Séno,14.0407,-0.45825,0
Tonga,commune,Cascades,,10.58333,-4.05,0
Tonéi,commune,Boucle du Mouhoun,,12.43333,-3,0
Toné,commune,Boucle du Mouhoun,,11.37483,-2.78268,0
Tonbougoudou,commune,Boucle du Mouhoun,,12.88333,-3.85,0
Tonbi,commune,Sud-Ouest,,10.3,-3.63333,0
Tomba,commune,Nord,Province du Yatenga,13.41256,-2.49296,0
Tona,commune,Boucle du Mouhoun,,12.06667,-3.5,0
Ton,commune,Boucle du Mouhoun,,11.56667,-2.7,0
Tomwaka,commune,Centre-Nord,Province du Bam,13.31705,-1.75442,0
Toména,commune,Sud-Ouest,,10.76667,-3.51667,0
Tambarga,commune,Est,Province du Gobnangou,11.79583,1.74167,0
Tomannga,commune,Est,Gnagna Province,13.23072,0.16095,0
Tomabissi,commune,Centre-Sud,,11,-0.83333,0
Toma,commune,Boucle du Mouhoun,,13.1413,-3.4523,0
Touma,commune,Boucle du Mouhoun,Province de la Koosin,12.6415,-4.4015,0
Tolongo,commune,Centre-Nord,,12.75,-0.4,0
Tolombou,commune,Sahel,Province du Yagha,13.50861,0.45798,0
Tologo Yiri,commune,Plateau-Central,,12.34129,-1.97444,0
Tolo,commune,Nord,Province du Yatenga,13.7418,-1.96021,0
Tolla,commune,Centre-Est,,11.8,-0.61667,0
Tolkaboua,commune,Sud-Ouest,,10.18333,-2.95,0
Tolingué,commune,Centre-Nord,,12.61667,-0.75,0
Tolépsi,commune,Est,Gnagna Province,13.13375,0.22255,0
Toléper,commune,Sud-Ouest,,10.84656,-2.99147,0
Tokyédogo,commune,Sahel,Province du Djelgodji,13.84947,-0.99344,0
Tokpoura,commune,Sud-Ouest,Province du Poni,10.3,-2.96667,0
Tokoumi,commune,Centre-Nord,,12.95,-0.48333,0
Tokora,commune,Sud-Ouest,,10.38333,-3.55,0
Tokéra,commune,Sud-Ouest,,10.23333,-3.33333,0
Toï Yako,commune,Centre-Sud,,11.76667,-0.93333,0
Toidyougou,commune,Centre-Nord,Sandbondtenga,13.44275,-1.02618,0
Tohisènko,commune,Centre-Ouest,,12.58333,-2.71667,0
Tohévéra,commune,Sud-Ouest,,10.43333,-3.2,0
Tohéra,commune,Sud-Ouest,,10.18333,-3.08333,0
Toguina,commune,Sahel,Province du Séno,13.51322,-0.24417,0
Togourka,commune,Est,,10.93333,0.51667,0
Togoundé,commune,Sahel,Province du Djelgodji,14.14847,-0.83764,0
Togotenga,commune,Centre-Est,,12.15,-0.25,0
Togossé,commune,Centre-Sud,,11.56667,-1.16667,0
Togombangré,commune,Plateau-Central,Province du Bassitenga,12.53682,-1.16823,0
Togoma,commune,Centre-Nord,Province du Bam,13.12319,-1.53032,0
Togen,commune,Plateau-Central,,12.38333,-0.91667,0
Toéysen,commune,Centre-Nord,,12.8,-0.58333,0
Toéssen,commune,Plateau-Central,,12.75446,-1.27254,0
Toéyoko,commune,Plateau-Central,,12.25,-0.91667,0
Toessin,commune,Nord,Province du Yatenga,13.64155,-2.48289,0
Toèssen,commune,Plateau-Central,,12.28333,-0.88333,0
Toéssé,commune,Centre-Nord,Province du Bam,13.55604,-1.65349,0
Toèssé,commune,Nord,,12.93333,-2.31667,0
Toessé,commune,Centre-Sud,Bazega Province,11.83,-1.26639,0
Toëssé,commune,Centre-Est,,11.81667,-0.31667,0
Toéré,commune,Boucle du Mouhoun,Province du Sourou,13.071,-3.3564,0
Toaré,commune,Boucle du Mouhoun,Province du Sourou,13.05692,-2.75708,0
Toemiga,commune,Centre-Sud,,11.96667,-1.31667,0
Toéguen,commune,Nord,Province du Yatenga,13.38838,-1.87901,0
Toéghin,commune,Plateau-Central,Province du Kourwéogo,12.8159,-1.72763,0
Tanga,commune,Plateau-Central,,12.49532,-1.74414,0
Toéghin,commune,Centre,Kadiogo Province,12.07588,-1.69041,0
Toédin,commune,Centre-Sud,,11.7,-1.15,0
Toébanaga,commune,Centre-Sud,,11.85,-1.48333,0
Toé,commune,Centre-Ouest,,11.46667,-2.3,0
Todié,commune,Hauts-Bassins,,10.85,-5.08333,0
Todiam,commune,Nord,Province du Yatenga,13.64662,-2.12503,0
Tobouroura,commune,Sud-Ouest,,10.05,-3.35,0
Tobo,commune,Sud-Ouest,,10.21667,-2.85,0
Tobil,commune,Sud-Ouest,,10.13333,-2.81667,0
Tobielpo,commune,Sud-Ouest,,10.1,-3.36667,0
Tobidioga,commune,Sahel,Province du Séno,13.9241,-0.12191,0
Tobanbou,commune,Est,Gnagna Province,13.48348,-0.13703,0
Toba,commune,Boucle du Mouhoun,,12.76667,-2.76667,0
Toanta,commune,Sud-Ouest,,9.95,-2.95,0
Toanga,commune,Centre-Sud,Bazega Province,12.0071,-1.2408,0
Toaètenga,commune,Centre-Nord,,12.96667,-0.93333,0
To,commune,Boucle du Mouhoun,,12.75,-2.98333,0
Tiziliziogo,commune,Plateau-Central,Province du Bassitenga,12.77166,-1.21611,0
Tiyo,commune,Centre-Nord,Sandbondtenga,13.27007,-1.28571,0
Tiyéllé,commune,Centre-Ouest,,11.95,-2.31667,0
Tivéra,commune,Sud-Ouest,,10.01667,-3.76667,0
Titouti,commune,Est,Province du Gobnangou,12.65282,1.29576,0
Titintabé,commune,Centre-Sud,,11.73333,-1.28333,0
Titim,commune,,,12,-2.05,0
Titara,commune,Sud-Ouest,,9.9,-3.26667,0
Titangen,commune,Nord,,12.85,-2.15,0
Titabé,commune,Sahel,Province du Séno,13.77274,0.43235,0
Tita,commune,Sahel,Province du Yagha,13.42662,0.3935,0
Tissimé,commune,Centre-Nord,,12.98333,-0.41667,0
Tissi,commune,Boucle du Mouhoun,,12.85,-3.73333,0
Tissémé,commune,Centre-Nord,Province du Namentenga,13.01657,-0.42765,0
Tissé,commune,Boucle du Mouhoun,,12.09803,-2.97621,0
Tirpo,commune,Sud-Ouest,,10.35,-2.98333,0
Tiripéra,commune,Sud-Ouest,,9.91667,-3.21667,0
Tiri,commune,Boucle du Mouhoun,,12.88333,-3.2,0
Tirenkilé,commune,Plateau-Central,,12.75033,-1.54232,0
Tirbou,commune,Centre-Nord,Province du Bam,13.40447,-1.80864,0
Tira,commune,Boucle du Mouhoun,Province de la Koosin,13.13112,-3.93531,0
Tiparga,commune,Est,,12.15,0.38333,0
Tipakouti,commune,Nord,,12.97673,-1.56936,0
Tioyo,commune,Sud-Ouest,,10.64967,-3.22745,0
Tioumkoum,commune,Sahel,Province du Séno,13.92196,-0.11312,0
Tioulo,commune,Sud-Ouest,,10.58333,-3.11667,0
Tioulankoulo,commune,Cascades,,10.7,-5.23333,0
Tiouéga,commune,Centre-Nord,Sandbondtenga,13.08382,-1.11851,0
Tiou,commune,Centre-Nord,Sandbondtenga,13.20503,-0.85478,0
Tiosséra,commune,Sud-Ouest,,10.17059,-3.51471,0
Tiossanao,commune,Sud-Ouest,,10.41667,-3.48333,0
Tioro,commune,Hauts-Bassins,,11.6,-3.65,0
Tiopolo,commune,Sud-Ouest,,9.98333,-3.51667,0
Tiopanao,commune,Sud-Ouest,,10.71667,-3.15,0
Tionzébougou,commune,Hauts-Bassins,Province du Kénédougou,11.09567,-5.07784,0
Tiontiomana,commune,Cascades,Province de la Comoé,10.48093,-4.76212,0
Tionouna,commune,Cascades,Province de la Comoé,10.53109,-4.7997,0
Tionkui,commune,Boucle du Mouhoun,,12.51667,-3.46667,0
Tiongo,commune,Est,Province du Gourma,12.23895,-0.0528,0
Tiongo,commune,Cascades,,10.91667,-5.45,0
Tionboni,commune,Hauts-Bassins,,11.61667,-3.53333,0
Tionbo,commune,Hauts-Bassins,,11.71667,-3.61667,0
Tiona,commune,Boucle du Mouhoun,,11.63333,-2.85,0
Tiomolo,commune,Sud-Ouest,,10.2,-3.05,0
Tioli,commune,Nord,Province du Yatenga,14.13291,-2.10917,0
Tiokui,commune,Boucle du Mouhoun,,12.11667,-3.75,0
Tiokpolotiona,commune,Sud-Ouest,,10.13333,-3.28333,0
Tioko,commune,Centre-Sud,,11.78333,-1.35,0
Tioké,commune,Sahel,Province du Djelgodji,13.90782,-0.86453,0
Tiogo,commune,Centre-Ouest,,12.33333,-2.38333,0
Tiodié,commune,Centre-Ouest,,11.85,-2.6,0
Tiochin,commune,Centre-Ouest,,11.5,-1.96667,0
Tiobouro,commune,Sud-Ouest,,9.95,-3.46667,0
Tiobiala,commune,Sud-Ouest,,9.9,-3.23333,0
Tio,commune,Centre-Ouest,,12.4727,-1.84286,0
Tintoura,commune,Sud-Ouest,,10.06667,-3.33333,0
Tintilou,commune,Centre,Kadiogo Province,12.21235,-1.78441,0
Tintilo,commune,Sud-Ouest,,10.96667,-3.56667,0
Tintenga,commune,Centre-Sud,Bazega Province,12.1168,-1.43124,0
Tinsouka,commune,Centre,Kadiogo Province,12.34524,-1.67209,0
Tinsobinbtinga,commune,Centre-Sud,,11.83333,-1.33333,0
Tinsobdogo,commune,Plateau-Central,,12.26667,-0.63333,0
Tinpo,commune,Sud-Ouest,,10.31667,-3,0
Tinpéréba,commune,Cascades,Province de la Comoé,10.16473,-4.90163,0
Tino,commune,Cascades,,10.75,-5.43333,0
Tinkpoura,commune,Sud-Ouest,,10.25,-3.31667,0
Tinko,commune,Sud-Ouest,,10.58333,-3.13333,0
Tinkiro,commune,Sud-Ouest,,10.11667,-3.41667,0
Tinkiéro,commune,Sud-Ouest,,10.16667,-3.23333,0
Tinkar,commune,Sud-Ouest,,10.58333,-3.03333,0
Tinkakpéra,commune,Sud-Ouest,,10.25,-3.46667,0
Tinié,commune,Sahel,Province du Djelgodji,14.33302,-1.46858,0
Tinibalé,commune,Est,,11.95,-0.1,0
Tinhira,commune,Sud-Ouest,,9.96667,-3.16667,0
Tingou,commune,Sahel,Province du Yagha,13.55177,0.50833,0
Tengandogo,commune,Centre-Sud,Bazega Province,12.05099,-1.30247,0
Kienfangué,commune,Centre,Kadiogo Province,12.20159,-1.55552,0
Tinéguèné,commune,Nord,Province du Yatenga,13.96582,-2.5235,0
Tiné,commune,Centre-Ouest,,11.1,-2.2,0
Tindonoui,commune,Est,Gnagna Province,13.40039,-0.15277,0
Tindilla,commune,Nord,,12.81667,-2.25,0
Tindiéra,commune,Sud-Ouest,,10.36667,-3.1,0
Tindia,commune,Sud-Ouest,,10.58333,-3,0
Tindangou,commune,Est,Province de la Kompienga,11.18111,0.83,0
Tindahané,commune,Est,,12.48333,-0.03333,0
Tinboura,commune,Sud-Ouest,,10.08333,-3.25,0
Tinboukoura,commune,Sud-Ouest,,10.11667,-3.33333,0
Timboué,commune,Centre-Sud,Bazega Province,11.78333,-1.3,0
Tinboko,commune,Cascades,,10.3,-3.81667,0
Tinbissinano,commune,Sud-Ouest,,10.75,-3.25,0
Tinbiéla,commune,Sud-Ouest,,10.08333,-3.33333,0
Tinbéboutiona,commune,Sud-Ouest,,10.55,-3.18333,0
Tinba,commune,Cascades,,10.65,-5.25,0
Tinatanboua,commune,Est,,12.13333,0.46667,0
Ti-n-Agadèl,commune,Sahel,Oudalan,14.48636,-0.03841,0
Téna,commune,Hauts-Bassins,Province du Kénédougou,11.79569,-5.2149,0
Tina,commune,Centre-Ouest,,11.63333,-2.05,0
Tin,commune,Hauts-Bassins,Province du Kénédougou,11.08906,-4.95565,0
Timintira,commune,Sud-Ouest,,10.13333,-3.28333,0
Timbanga,commune,Est,,12.78333,0.55,0
Tima,commune,Sahel,Province du Séno,13.68013,-0.02906,0
Tilli,commune,Nord,Province du Yatenga,13.48605,-2.3504,0
Tiligui,commune,Nord,Province du Yatenga,13.06285,-2.07931,0
Tilibaka,commune,Centre-Nord,,12.7,-0.98333,0
Tiliba,commune,Nord,Province du Yatenga,13.36362,-2.23357,0
Tilga,commune,Centre-Nord,Province du Namentenga,13.09689,-0.59825,0
Tiléré,commune,Sahel,Province du Djelgodji,14.0567,-1.65802,0
Tilanpira,commune,Sud-Ouest,,10.01667,-3.33333,0
Tilanaoulé,commune,Sahel,Province du Djelgodji,14.06294,-0.86825,0
Tila,commune,Sahel,Province du Séno,14.08211,-0.25993,0
Tikoumbablé,commune,Sahel,Province du Séno,13.68887,-0.30262,0
Tikétiona,commune,Sud-Ouest,,10.45,-3.5,0
Tikaré,commune,Centre-Nord,Province du Bam,13.29139,-1.72611,0
Tiguinzougué,commune,Centre-Est,,11.88333,-0.2,0
Tiguendélga,commune,Plateau-Central,,12.36667,-0.56667,0
Tigsarbo,commune,Centre-Nord,Sandbondtenga,13.0107,-1.51681,0
Tigré,commune,Centre-Sud,,11.9,-0.91667,0
Tigou,commune,Sahel,Province du Séno,13.9827,-0.27415,0
Tigaoren,commune,Centre-Nord,,12.9,-0.33333,0
Tiguindalgué,commune,Centre,Kadiogo Province,12.2663,-1.60131,0
Tigan,commune,Boucle du Mouhoun,,12.30943,-3.15,0
Tigaintiélé,commune,Centre-Ouest,,11.68333,-1.66667,0
Tiga,commune,Hauts-Bassins,Province du Kénédougou,11.88794,-4.67849,0
Tifoukourou,commune,Sahel,Province du Djelgodji,14.44666,-0.7098,0
Tifou,commune,Centre-Nord,Sandbondtenga,13.27299,-1.30524,0
Tiforodo,commune,Sud-Ouest,,9.73333,-3.05,0
Tiéssourou,commune,Centre-Ouest,,11.33333,-2.33333,0
Tiéribé,commune,Boucle du Mouhoun,,12.63333,-3.4,0
Tiéri,commune,Est,Gnagna Province,12.98182,-0.23502,0
Kerga,commune,Nord,Province du Yatenga,13.77878,-2.31802,0
Tiérékou,commune,Boucle du Mouhoun,,12.11667,-3.01667,0
Tiérako,commune,Hauts-Bassins,Province du Houet,11.48253,-4.1343,0
Tieradeni,commune,Cascades,,10.28333,-4.7,0
Tienzan,commune,Boucle du Mouhoun,,12.25,-3.23333,0
Tienséré,commune,Boucle du Mouhoun,,12.01667,-3.31667,0
Tienpagora,commune,Cascades,Province de la Comoé,10.41219,-4.80035,0
Tienkouagalaga,commune,Nord,Province du Yatenga,13.00958,-2.17209,0
Tiengouéra,commune,Hauts-Bassins,Province du Kénédougou,11.85032,-4.85589,0
Tiénéna,commune,Hauts-Bassins,,10.91667,-5.26667,0
Tiénéméné,commune,Nord,Province du Yatenga,13.49657,-2.12636,0
Tiénékui,commune,Boucle du Mouhoun,Province de la Koosin,13.0324,-4.1857,0
Tiéna,commune,Boucle du Mouhoun,,12.21667,-3.2,0
Tien,commune,Hauts-Bassins,Province du Houet,11.03729,-4.54278,0
Tiéména,commune,Boucle du Mouhoun,Province de la Koosin,12.70315,-3.99631,0
Tiémana,commune,Sud-Ouest,,9.96667,-3.4,0
Tièma,commune,Boucle du Mouhoun,,12.73333,-2.78333,0
Tielka,commune,Sud-Ouest,,10.66667,-3.01667,0
Tiékuy,commune,Boucle du Mouhoun,,12.3,-3.25,0
Tiékoura,commune,Centre-Ouest,,11.01667,-2.18333,0
Tiékouna,commune,Cascades,Province de la Comoé,10.63002,-4.80781,0
Tiékon,commune,Sud-Ouest,,11.18333,-2.88333,0
Tollel-Kaya,commune,Sahel,Oudalan,14.54432,0.00242,0
Tyékol Ndiaki,commune,Sahel,Province du Séno,14.03008,0.20508,0
Tiékélinsso,commune,Cascades,,10.45,-5.2,0
Tiékel,commune,Sud-Ouest,,10.16667,-2.83333,0
Tiékaliédji,commune,Sahel,Province du Séno,13.90408,-0.50802,0
Tiéfora,commune,Cascades,Province de la Comoé,10.63039,-4.55124,0
Tiébon,commune,Sud-Ouest,,9.93333,-3.8,0
Tiéblétenga,commune,Centre-Est,,11.55,-0.06667,0
Tiébélé,commune,Centre-Sud,Nahouri Province,11.09722,-0.96556,0
Tiébata,commune,Cascades,Province de la Comoé,9.85342,-4.26847,0
Tidyala,commune,Sahel,Province du Djelgodji,13.8295,-1.47375,0
Tidimtoa,commune,Centre-Nord,Province du Namentenga,13.14329,-0.36239,0
Tibtenga,commune,Centre-Nord,Province du Bam,13.28782,-1.3982,0
Tibtanga,commune,Nord,Province du Yatenga,13.50792,-2.36983,0
Tibsagabo,commune,Centre-Nord,Province du Namentenga,13.16122,-0.5329,0
Tibou,commune,Nord,Province du Passoré,12.98246,-1.95795,0
Tibo,commune,Nord,Province du Yatenga,14.09923,-2.16657,0
Tibitenga,commune,Nord,Province du Yatenga,13.78581,-2.34661,0
Tibiri,commune,Sahel,Province du Djelgodji,13.90793,-1.20662,0
Tibilindi,commune,Sahel,Province du Séno,13.80068,-0.08085,0
Tibili,commune,Nord,,12.96667,-2.13333,0
Tibili,commune,Est,,12.48333,-0.16667,0
Tibila,commune,Nord,Province du Yatenga,13.09551,-2.70671,0
Tibikoro,commune,Nord,Province du Yatenga,13.5657,-2.66361,0
Tibieldouo,commune,Sud-Ouest,,10.11667,-3.18333,0
Tibi,commune,Centre-Nord,Sandbondtenga,13.15321,-0.88635,0
Tibga,commune,Est,Province du Gourma,12.16917,0.0575,0
Tiben,commune,Centre-Nord,Province du Bam,13.1673,-1.38159,0
Tibin,commune,Plateau-Central,Province du Bassitenga,12.61919,-1.24191,0
Tiben,commune,Plateau-Central,,12.35,-0.7,0
Tibé,commune,Nord,Province du Yatenga,13.01664,-2.35543,0
Tibé,commune,Centre-Nord,,12.83333,-0.86667,0
Tibé,commune,Centre,,12.18174,-1.42975,0
Tibé,commune,Centre-Sud,,11.76667,-1.35,0
Tibari,commune,Est,,12.43333,0.91667,0
Tiba,commune,Nord,Province du Yatenga,13.41113,-1.96681,0
Tiba,commune,Plateau-Central,,12.70248,-1.29773,0
Tiawama,commune,Hauts-Bassins,,11.63333,-3.7,0
Tiargou,commune,Est,,12.75,0.66667,0
Tiaré,commune,Centre-Ouest,,11.76667,-2.21667,0
Tiarakui,commune,Boucle du Mouhoun,,12.9,-4.03333,0
Tiara,commune,Hauts-Bassins,Province du Kénédougou,11.99915,-4.71974,0
Tiao,commune,Boucle du Mouhoun,Province du Sourou,13.2257,-3.2385,0
Tianra,commune,Boucle du Mouhoun,Province du Sourou,13.0917,-3.1699,0
Tianpara,commune,Sud-Ouest,,9.83333,-3.06667,0
Tiano,commune,Centre-Ouest,,11.38333,-2.21667,0
Tiankui,commune,Boucle du Mouhoun,,12.63333,-3.45,0
Tiankoura,commune,Sud-Ouest,,10.76634,-3.25588,0
Tiankoro,commune,Hauts-Bassins,Province du Houet,12.01288,-4.55506,0
Tiamien,commune,Centre-Ouest,,11.81667,-2.25,0
Tialgo,commune,Centre-Ouest,,12.23333,-2.58333,0
Tialba,commune,Est,,12.1157,0.06534,0
Tiakoro,commune,Sud-Ouest,,10.63333,-3.18333,0
Tiakora,commune,Sud-Ouest,,10.7,-3.2,0
Tiako,commune,Centre-Ouest,,11.83333,-1.86667,0
Tiakane,commune,Centre-Est,,11.83333,-0.08333,0
Tiakané,commune,Centre-Sud,,11.18333,-1.2,0
Tiagao,commune,Centre-Ouest,,11.61667,-1.8,0
Tiafolboy,commune,Sahel,Oudalan,14.31421,-0.55519,0
Tiafandouo,commune,Sud-Ouest,,10.01667,-3.16667,0
Tantiabongou,commune,Sahel,Province du Yagha,13.09689,0.73439,0
Tiabga,commune,Est,,12.03333,-0.03333,0
Tiabdou,commune,Est,,12.78333,-0.11667,0
Tia,commune,Boucle du Mouhoun,,11.78333,-3.85,0
Ti,commune,Centre-Ouest,,12.51765,-1.8126,0
Ti,commune,Hauts-Bassins,,12.03333,-4.51667,0
Tiou,commune,Centre-Ouest,,11.95523,-2.19869,0
Thioumtonga,commune,Sahel,Province du Séno,13.98649,-0.06579,0
Tiou,commune,Nord,Province du Yatenga,13.80632,-2.66373,0
Thion,commune,Est,Gnagna Province,13.06475,-0.31495,0
Thièo,commune,Nord,,12.86667,-2.3,0
Toezouri,commune,Centre,Kadiogo Province,12.16613,-1.66529,0
Téyoko,commune,Centre,Kadiogo Province,12.23108,-1.41065,0
Téyoko,commune,Centre-Sud,,11.7,-1.05,0
Tèyga,commune,Centre-Ouest,,12.31667,-2.43333,0
Téyango,commune,Sahel,Province du Yagha,13.42846,0.73157,0
Tésyamé,commune,Plateau-Central,,12.2,-0.85,0
Tèstenga,commune,Centre-Est,,12.3,-0.45,0
Tessépe,commune,Sud-Ouest,,10.48333,-2.98333,0
Terpo,commune,Sud-Ouest,,10.08333,-3.7,0
Téri-Rimaibé,commune,Boucle du Mouhoun,,12.94539,-3.21864,0
Téréko,commune,Boucle du Mouhoun,Province de la Koosin,12.3758,-4.2742,0
Téré,commune,Centre-Nord,Sandbondtenga,13.34286,-0.82099,0
Tèrbièl,commune,Sahel,Province du Séno,13.77497,-0.03163,0
Téoulé,commune,Hauts-Bassins,Province du Kénédougou,11.73773,-4.7889,0
Taonsogo,commune,Nord,Province du Yatenga,13.50995,-1.91521,0
Téonsogo,commune,Nord,Province du Yatenga,13.44366,-2.56874,0
Téossalogo,commune,Plateau-Central,,12.31667,-0.86667,0
Tèntogo,commune,Plateau-Central,,12.16667,-0.65,0
Tanguiga,commune,Plateau-Central,,12.66175,-1.44973,0
Tensouka,commune,Centre-Nord,Province du Bam,13.26623,-1.51181,0
Tensobtenga,commune,Centre-Est,Kouritenga Province,12,-0.26667,0
Tensobongo,commune,Plateau-Central,,12.45635,-1.94033,0
Tensobintenga,commune,Plateau-Central,,12.28333,-0.85,0
Tensobadogo,commune,Centre-Nord,Province du Bam,13.23265,-1.50296,0
