appliquer,id_source,nom_source,id_canonique,nom_canonique,similarite
oui,176,Région du Bankui,394,Boucle du Mouhoun,region-reforme
oui,183,Région du Nazinon,531,Centre-Sud,region-reforme
oui,177,Région du Djôrô,402,Sud-Ouest,region-reforme
