appliquer,id_source,nom_source,id_canonique,nom_canonique,similarite
,652,Direction provinciale de la police nationale du Poni,650,Direction provinciale de la police nationale du Nayala,0.85
,508,Centre hospitalier régional de Dédougou,506,Centre hospitalier régional de Koudougou,0.84
,702,Université Joseph KI-ZERBO (ISSP),185,Université Joseph KI-ZERBO,0.84
,654,Direction provinciale de la police nationale du Séno,652,Direction provinciale de la police nationale du Poni,0.84
,652,Direction provinciale de la police nationale du Poni,645,Direction provinciale de la police nationale du Ioba,0.84
,126,Unité de formation et de recherche en Sciences humaines (UFR/SH),121,Unité de formation et de recherche en Lettres et sciences humaines (UFR/LSH),0.84
,656,Direction provinciale de la police nationale du Yatenga,653,Direction provinciale de la police nationale du Sanmatenga,0.84
,556,Institut supérieur de protection civile,48,Institut supérieur d’études de protection civile,0.83
,650,Direction provinciale de la police nationale du Nayala,645,Direction provinciale de la police nationale du Ioba,0.82
,701,Université Joseph KI-ZERBO (IFOAD),185,Université Joseph KI-ZERBO,0.82
,652,Direction provinciale de la police nationale du Poni,644,Direction provinciale de la police nationale du Houet,0.82
,654,Direction provinciale de la police nationale du Séno,650,Direction provinciale de la police nationale du Nayala,0.82
,384,Tribunal de grande instance de Dédougou,382,Tribunal de grande instance de Koudougou,0.82
,640,Direction provinciale de la police nationale du Boulkiemdé,639,Direction provinciale de la police nationale du Boulgou,0.82
,162,Fonds de soutien à l’éducation et la recherche (FOSER) Bângr Baoobo,12,Fonds de soutien à l’éducation et à la recherche (FOSER),0.81
,648,Direction provinciale de la police nationale du Kourwéogo,647,Direction provinciale de la police nationale du Koulpélogo,0.81
,514,"Ministère de l’Économie, des Finances et de la Prospective (Direction provinciale)",513,"Ministère de l’Économie, des Finances et de la Prospective (Direction régionale)",0.81
,141,Unité de formation et de recherche en sciences et techniques (UFR/ST),122,Unité de formation et de recherche en Sciences et technologies (UFR/ST),0.81
,332,Centre national de la recherche scientifique et technologique (CNRST) - Institut des sciences des sociétés (INSS),331,Centre national de la recherche scientifique et technologique (CNRST) - Institut de recherche en sciences de la santé (IRSS),0.81
,655,Direction provinciale de la police nationale du Sourou,654,Direction provinciale de la police nationale du Séno,0.81
,652,Direction provinciale de la police nationale du Poni,638,Direction provinciale de la police nationale des Balé,0.80
,652,Direction provinciale de la police nationale du Poni,643,Direction provinciale de la police nationale du Gourma,0.80
,573,Air Burkina SA,99,Air Burkina,0.80
,142,Unité de formation et de recherche en Sciences juridiques et politiques (UFR/SJP),138,"Unité de formation et recherche en Sciences juridiques, politiques, économiques et de gestion (UFR/SJPEG)",0.80
,650,Direction provinciale de la police nationale du Nayala,644,Direction provinciale de la police nationale du Houet,0.80
,333,Centre national de la recherche scientifique et technologique (CNRST) - Institut de recherche en sciences appliquées et technologies (IRSAT),331,Centre national de la recherche scientifique et technologique (CNRST) - Institut de recherche en sciences de la santé (IRSS),0.80
,567,Institut du développement rural,139,Institut du développement dural (IDR),0.80
,278,Agence de gestion des soins de santé primaire,47,Agence nationale de gestion des soins de santé primaires,0.80
,655,Direction provinciale de la police nationale du Sourou,652,Direction provinciale de la police nationale du Poni,0.80
,654,Direction provinciale de la police nationale du Séno,645,Direction provinciale de la police nationale du Ioba,0.80
,645,Direction provinciale de la police nationale du Ioba,644,Direction provinciale de la police nationale du Houet,0.79
,123,Unité de formation et de recherche en Sciences appliquées et technologies (UFR/SAT),122,Unité de formation et de recherche en Sciences et technologies (UFR/ST),0.79
,384,Tribunal de grande instance de Dédougou,108,Tribunal de grande instance de Diébougou,0.79
,388,Tribunal de grande instance de Léo,110,Tribunal de grande instance de Pô,0.79
,389,Tribunal de grande instance de Dori,110,Tribunal de grande instance de Pô,0.79
,440,"Ministère de la Transition numérique, des Postes et des Communications électroniques",36,"Ministère de la Transition digitale, des Postes et des Communications électroniques",0.79
,568,Unité de formation et de recherche en sciences humaines,121,Unité de formation et de recherche en Lettres et sciences humaines (UFR/LSH),0.79
,643,Direction provinciale de la police nationale du Gourma,642,Direction provinciale de la police nationale du Ganzourgou,0.79
,648,Direction provinciale de la police nationale du Kourwéogo,646,Direction provinciale de la police nationale du Kadiogo,0.79
,650,Direction provinciale de la police nationale du Nayala,643,Direction provinciale de la police nationale du Gourma,0.79
,652,Direction provinciale de la police nationale du Poni,639,Direction provinciale de la police nationale du Boulgou,0.79
,652,Direction provinciale de la police nationale du Poni,646,Direction provinciale de la police nationale du Kadiogo,0.79
,652,Direction provinciale de la police nationale du Poni,649,Direction provinciale de la police nationale du Mouhoun,0.79
,654,Direction provinciale de la police nationale du Séno,644,Direction provinciale de la police nationale du Houet,0.79
,655,Direction provinciale de la police nationale du Sourou,650,Direction provinciale de la police nationale du Nayala,0.79
,656,Direction provinciale de la police nationale du Yatenga,652,Direction provinciale de la police nationale du Poni,0.79
,657,Direction provinciale de la police nationale du Zondoma,652,Direction provinciale de la police nationale du Poni,0.79
,686,"Département de Kalsaka, Province du Yatenga",685,"Département de Kaïn, Province du Yatenga",0.79
,649,Direction provinciale de la police nationale du Mouhoun,644,Direction provinciale de la police nationale du Houet,0.78
,507,Centre hospitalier régional de Dori,46,Centre hospitalier régional de Kaya,0.78
,508,Centre hospitalier régional de Dédougou,451,Centre hospitalier régional de Koudougou (CHR-Koudougou),0.78
,658,Direction provinciale de la police nationale du Zoundwéogo,648,Direction provinciale de la police nationale du Kourwéogo,0.78
,641,Direction provinciale de la police nationale de la Comoé,638,Direction provinciale de la police nationale des Balé,0.78
,655,Direction provinciale de la police nationale du Sourou,643,Direction provinciale de la police nationale du Gourma,0.78
,652,Direction provinciale de la police nationale du Poni,641,Direction provinciale de la police nationale de la Comoé,0.78
,593,Tribunal de grande instance de Ouagadougou,384,Tribunal de grande instance de Dédougou,0.78
,650,Direction provinciale de la police nationale du Nayala,638,Direction provinciale de la police nationale des Balé,0.78
,650,Direction provinciale de la police nationale du Nayala,639,Direction provinciale de la police nationale du Boulgou,0.77
,656,Direction provinciale de la police nationale du Yatenga,650,Direction provinciale de la police nationale du Nayala,0.77
,655,Direction provinciale de la police nationale du Sourou,645,Direction provinciale de la police nationale du Ioba,0.77
,645,Direction provinciale de la police nationale du Ioba,643,Direction provinciale de la police nationale du Gourma,0.77
,650,Direction provinciale de la police nationale du Nayala,649,Direction provinciale de la police nationale du Mouhoun,0.77
,647,Direction provinciale de la police nationale du Koulpélogo,646,Direction provinciale de la police nationale du Kadiogo,0.77
,657,Direction provinciale de la police nationale du Zondoma,650,Direction provinciale de la police nationale du Nayala,0.77
,387,Tribunal de grande instance de Gaoua,110,Tribunal de grande instance de Pô,0.77
,591,Tribunal de grande instance de Kaya,110,Tribunal de grande instance de Pô,0.77
,650,Direction provinciale de la police nationale du Nayala,646,Direction provinciale de la police nationale du Kadiogo,0.77
,389,Tribunal de grande instance de Dori,388,Tribunal de grande instance de Léo,0.77
,654,Direction provinciale de la police nationale du Séno,643,Direction provinciale de la police nationale du Gourma,0.77
,135,"Unité de formation et de recherche en Sciences humaines, Lettres, arts et médias (UFR/SH-LAM)",121,Unité de formation et de recherche en Lettres et sciences humaines (UFR/LSH),0.77
,656,Direction provinciale de la police nationale du Yatenga,654,Direction provinciale de la police nationale du Séno,0.76
,646,Direction provinciale de la police nationale du Kadiogo,645,Direction provinciale de la police nationale du Ioba,0.76
,649,Direction provinciale de la police nationale du Mouhoun,645,Direction provinciale de la police nationale du Ioba,0.76
,650,Direction provinciale de la police nationale du Nayala,641,Direction provinciale de la police nationale de la Comoé,0.76
,571,Unité de formation et de recherche en sciences de la santé,565,Unité de formation et de recherche en sciences de la vie et de la terre,0.76
,566,"Unité de formation et de recherche en sciences humaines, lettres, arts et médias",121,Unité de formation et de recherche en Lettres et sciences humaines (UFR/LSH),0.76
,669,Région du Centre-Ouest,355,Région du Centre-Est,0.76
,652,Direction provinciale de la police nationale du Poni,640,Direction provinciale de la police nationale du Boulkiemdé,0.76
,514,"Ministère de l’Économie, des Finances et de la Prospective (Direction provinciale)",210,"Ministère de l'Économie, des Finances et de la Prospective",0.76
,513,"Ministère de l’Économie, des Finances et de la Prospective (Direction régionale)",210,"Ministère de l'Économie, des Finances et de la Prospective",0.76
,702,Université Joseph KI-ZERBO (ISSP),701,Université Joseph KI-ZERBO (IFOAD),0.76
,652,Direction provinciale de la police nationale du Poni,648,Direction provinciale de la police nationale du Kourwéogo,0.76
,510,Centre hospitalier régional de Gaoua,507,Centre hospitalier régional de Dori,0.76
,654,Direction provinciale de la police nationale du Séno,638,Direction provinciale de la police nationale des Balé,0.76
,654,Direction provinciale de la police nationale du Séno,639,Direction provinciale de la police nationale du Boulgou,0.76
